CustID,GENDER,MARITAL_STATUS,BIRTH_DATE,CUSTOMER_SINCE,CUSTOMER_AGE,MoB,CUST_DELETED_DATE,attrition,Time2Event
11814,F     ,M             ,11/1/1935,8/16/2011,39.5,1.686730506,1/3/2014,1,367
11290,F     ,M             ,11/1/1935,6/15/1993,39.5,10.76470588,,0,731
11928,M     ,M             ,12/1/1935,2/9/2012,39.5,1.444596443,4/2/2013,1,91
11643,M     ,M             ,12/1/1935,8/18/1992,39.5,11.17647059,,0,731
10736,M     ,M             ,1/1/1936,7/2/1986,39,14.23939808,,0,731
10028,M     ,M             ,3/1/1936,5/6/2011,39,1.82626539,,0,731
11253,F     ,M             ,4/1/1936,1/4/1996,39,9.488372093,,0,731
11754,F     ,M             ,4/1/1936,1/17/1995,39,9.969904241,,0,731
11853,F     ,M             ,4/1/1936,4/7/1987,39,13.85772914,,0,731
11518,F     ,M             ,6/1/1936,5/12/1988,39,13.30916553,,0,731
10813,M     ,S             ,7/1/1936,5/21/2000,39,7.300957592,,0,731
10104,M     ,M             ,8/1/1936,12/31/1963,39,25.48290014,,0,731
10101,M     ,M             ,11/1/1936,8/11/2011,39,1.693570451,10/4/2013,1,276
10856,M     ,M             ,11/1/1936,11/20/1945,39,34.53214774,,0,731
11915,F     ,M             ,11/1/1936,7/12/2009,39,2.733242134,,0,731
11161,M     ,M             ,1/1/1937,12/16/2005,38.5,4.517099863,,0,731
10934,F     ,M             ,2/1/1937,12/28/2005,38.5,4.500683995,,0,731
11339,F     ,M             ,2/1/1937,4/17/2008,38.5,3.350205198,,0,731
10603,M     ,M             ,4/1/1937,4/7/1999,38.5,7.861833105,,0,731
11419,M     ,W             ,4/1/1937,4/3/1998,38.5,8.366621067,,0,731
11180,M     ,M             ,7/1/1937,1/17/1984,38.5,15.46648427,,0,731
10226,M     ,S             ,10/1/1937,4/23/1956,38.5,29.32421341,,0,731
11768,M     ,S             ,10/1/1937,5/21/2000,38.5,7.300957592,,0,731
10256,M     ,U             ,11/1/1937,12/15/2009,38.5,2.519835841,,0,731
11284,F     ,W             ,11/1/1937,1/1/1978,38.5,18.48563611,,0,731
10168,F     ,M             ,1/1/1938,1/1/1976,38.5,19.48563611,,0,731
10844,M     ,D             ,1/1/1938,12/16/1991,38,11.5129959,,0,731
11583,F     ,M             ,2/1/1938,7/27/2012,38,1.213406293,9/2/2013,1,244
10381,M     ,M             ,2/1/1938,11/13/1996,38,9.058823529,,0,731
10752,F     ,W             ,2/1/1938,12/7/1995,38,9.526675787,,0,731
11434,F     ,U             ,2/1/1938,12/23/2011,38,1.510259918,,0,731
11403,M     ,M             ,4/1/1938,6/30/1981,38,16.74008208,,0,731
10890,M     ,D             ,8/1/1938,1/1/1978,38,18.48563611,,0,731
11017,F     ,M             ,9/1/1938,9/3/1976,38,19.14911081,,0,731
10930,M     ,M             ,11/1/1938,3/8/2012,38,1.40629275,5/3/2013,1,122
10550,F     ,M             ,1/1/1939,10/29/1990,37.5,12.07797538,,0,731
10929,M     ,M             ,1/1/1939,7/8/2009,37.5,2.73871409,,0,731
11604,M     ,S             ,2/1/1939,1/25/1999,37.5,7.960328317,,0,731
10841,M     ,M             ,3/1/1939,5/10/1972,37.5,21.30642955,,0,731
11630,M     ,M             ,3/1/1939,3/20/2006,37.5,4.388508892,,0,731
10162,M     ,M             ,7/1/1939,7/6/1994,37.5,10.23666211,,0,731
10454,F     ,M             ,8/1/1939,8/24/1984,37.5,15.16552668,,0,731
10456,M     ,D             ,10/1/1939,8/1/1995,37.5,9.701778386,,0,731
11371,M     ,M             ,10/1/1939,1/14/1986,37.5,14.47058824,,0,731
11651,M     ,M             ,10/1/1939,12/2/2004,37.5,5.035567715,,0,731
10699,F     ,W             ,1/1/1940,1/1/1990,37.5,12.48974008,,0,731
10820,M     ,M             ,2/1/1940,3/26/2004,37,5.378932969,,0,731
10882,F     ,W             ,2/1/1940,11/5/1998,37,8.071135431,,0,731
11244,F     ,W             ,2/1/1940,5/25/1971,37,21.78659371,,0,731
11705,F     ,M             ,3/1/1940,12/31/1973,37,20.48563611,,0,731
11908,F     ,M             ,4/1/1940,7/10/2012,37,1.236662107,9/2/2013,1,244
10012,F     ,M             ,4/1/1940,4/17/2008,37,3.350205198,,0,731
10775,M     ,M             ,4/1/1940,11/12/1993,37,10.55950752,,0,731
11632,M     ,M             ,6/1/1940,9/24/1965,37,24.61696306,,0,731
11810,M     ,M             ,8/1/1940,3/27/1996,37,9.374829001,,0,731
11716,F     ,M             ,11/1/1940,1/7/1999,37,7.98495212,,0,731
11216,M     ,M             ,12/1/1940,7/25/2012,37,1.216142271,9/2/2013,1,244
11870,M     ,M             ,1/1/1941,1/1/1941,37,36.97264022,,0,731
10640,F     ,S             ,2/1/1941,10/27/2011,36.5,1.588235294,,0,731
10970,M     ,M             ,2/1/1941,2/21/1989,36.5,12.91928865,,0,731
11463,F     ,F             ,3/1/1941,1/22/2007,36.5,3.967168263,,0,731
10967,F     ,M             ,4/1/1941,3/9/1985,36.5,14.89603283,,0,731
10863,M     ,S             ,5/1/1941,5/24/1997,36.5,8.796169631,,0,731
11390,F     ,S             ,10/1/1941,10/1/2000,36.5,7.119015048,5/3/2013,1,122
11418,F     ,M             ,11/1/1941,9/14/2001,36.5,6.642954856,,0,731
11779,F     ,M             ,2/1/1942,12/31/1984,36,14.98905609,,0,731
11800,M     ,M             ,3/1/1942,10/3/2011,36,1.621067031,3/3/2014,1,426
10531,M     ,M             ,4/1/1942,6/14/2006,36,4.270861833,,0,731
11728,F     ,M             ,4/1/1942,11/29/1995,36,9.537619699,,0,731
10385,M     ,M             ,5/1/1942,3/1/1995,36,9.911080711,,0,731
10247,F     ,M             ,6/1/1942,6/25/1979,36,17.74692202,,0,731
11322,F     ,M             ,7/1/1942,12/31/1982,36,15.98905609,,0,731
11319,F     ,M             ,9/1/1942,11/12/1993,36,10.55950752,,0,731
10141,M     ,D             ,10/1/1942,9/28/2000,36,7.123119015,,0,731
11050,M     ,M             ,1/1/1943,9/1/1976,36,19.15184679,,0,731
11140,F     ,M             ,2/1/1943,3/4/2004,35.5,5.409028728,,0,731
10088,F     ,M             ,5/1/1943,8/4/1987,35.5,13.69493844,,0,731
10826,M     ,M             ,6/1/1943,12/7/2011,35.5,1.532147743,2/1/2013,1,31
10240,F     ,M             ,6/1/1943,7/21/1997,35.5,8.716826265,11/3/2014,1,671
10733,M     ,M             ,6/1/1943,6/19/1985,35.5,14.75649795,,0,731
11286,F     ,D             ,7/1/1943,5/19/2008,35.5,3.306429549,,0,731
11375,F     ,M             ,7/1/1943,10/7/1992,35.5,11.10807114,,0,731
11734,M     ,M             ,7/1/1943,1/1/1982,35.5,16.4870041,,0,731
10064,F     ,D             ,8/1/1943,11/2/2000,35.5,7.075239398,,0,731
11554,M     ,M             ,9/1/1943,9/12/2006,35.5,4.147742818,,0,731
10791,M     ,S             ,10/1/1943,3/23/2012,35.5,1.385772914,5/3/2013,1,122
10878,M     ,M             ,11/1/1943,3/30/1983,35.5,15.86730506,,0,731
11192,F     ,M             ,11/1/1943,1/5/2009,35.5,2.990424077,,0,731
10693,F     ,M             ,12/1/1943,4/30/2006,35.5,4.332421341,,0,731
11316,M     ,M             ,1/1/1944,7/6/1998,35,8.238030096,,0,731
11666,M     ,M             ,1/1/1944,5/13/1985,35.5,14.80711354,,0,731
11697,M     ,M             ,1/1/1944,7/5/2000,35,7.239398085,,0,731
11110,M     ,M             ,2/1/1944,10/20/2008,35,3.095759234,,0,731
11255,M     ,M             ,2/1/1944,8/31/2001,35,6.662106703,,0,731
11815,M     ,M             ,2/1/1944,1/1/1984,35,15.48837209,,0,731
10193,F     ,W             ,3/1/1944,10/1/1998,35,8.119015048,,0,731
11335,F     ,M             ,3/1/1944,5/23/2002,35,6.299589603,,0,731
11763,F     ,M             ,3/1/1944,8/10/1984,35,15.18467852,,0,731
10570,M     ,M             ,4/1/1944,11/30/2007,35,3.540355677,,0,731
11650,F     ,M             ,4/1/1944,2/9/1990,35,12.43638851,,0,731
10252,M     ,S             ,6/1/1944,3/29/2012,35,1.377564979,5/3/2013,1,122
10017,M     ,M             ,6/1/1944,7/28/1987,35,13.70451436,,0,731
11812,F     ,W             ,9/1/1944,12/31/1984,35,14.98905609,11/1/2013,1,304
10118,M     ,M             ,9/1/1944,8/24/2011,35,1.675786594,,0,731
11137,M     ,U             ,9/1/1944,10/22/2009,35,2.59370725,,0,731
10420,M     ,M             ,10/1/1944,12/7/2004,35,5.02872777,,0,731
11628,M     ,M             ,11/1/1944,7/28/2004,35,5.209302326,11/1/2013,1,304
11922,F     ,W             ,12/1/1944,5/16/2000,35,7.307797538,,0,731
10842,M     ,M             ,1/1/1945,2/14/2012,34.5,1.437756498,4/2/2013,1,91
10577,F     ,M             ,1/1/1945,10/9/1972,35,21.09849521,,0,731
10333,M     ,M             ,2/1/1945,3/11/1996,34.5,9.396716826,,0,731
11349,F     ,M             ,2/1/1945,1/1/1978,34.5,18.48563611,,0,731
10850,M     ,M             ,3/1/1945,12/12/2005,34.5,4.522571819,,0,731
10903,M     ,M             ,3/1/1945,2/6/1984,34.5,15.43912449,,0,731
11206,M     ,M             ,3/1/1945,4/20/1998,34.5,8.343365253,,0,731
10186,M     ,M             ,4/1/1945,9/8/2004,34.5,5.151846785,3/3/2014,1,426
10846,F     ,M             ,4/1/1945,9/11/1995,34.5,9.645690834,,0,731
11845,M     ,M             ,4/1/1945,1/1/1965,34.5,24.98084815,,0,731
11386,F     ,D             ,5/1/1945,2/24/2011,34.5,1.923392613,2/1/2013,1,31
10056,M     ,M             ,5/1/1945,12/14/2009,34.5,2.52120383,9/1/2014,1,608
11476,M     ,M             ,5/1/1945,8/10/1993,34.5,10.6880985,,0,731
10003,M     ,M             ,6/1/1945,8/18/2003,34.5,5.68125855,,0,731
11564,F     ,M             ,6/1/1945,7/19/1995,34.5,9.719562244,,0,731
10245,F     ,M             ,7/1/1945,3/15/1979,34.5,17.88645691,,0,731
10656,F     ,M             ,7/1/1945,5/29/2007,34.5,3.793433653,,0,731
11205,F     ,M             ,7/1/1945,7/11/1945,34.5,34.7127223,,0,731
11785,M     ,M             ,7/1/1945,8/1/1987,34.5,13.69904241,,0,731
10976,F     ,M             ,8/1/1945,3/8/2011,34.5,1.906976744,6/3/2013,1,153
10779,M     ,M             ,9/1/1945,12/1/2008,34.5,3.038303694,12/1/2014,1,699
11550,M     ,M             ,10/1/1945,6/18/2005,34.5,4.764705882,,0,731
10359,F     ,M             ,11/1/1945,10/5/2004,34.5,5.114911081,,0,731
11932,F     ,M             ,11/1/1945,4/30/1982,34.5,16.32421341,,0,731
10601,M     ,M             ,12/1/1945,9/1/1989,34.5,12.65663475,,0,731
10424,M     ,S             ,1/1/1946,7/3/1987,34.5,13.73871409,,0,731
10843,F     ,S             ,1/1/1946,6/16/1988,34,13.26128591,,0,731
11659,M     ,M             ,1/1/1946,7/16/1998,34,8.224350205,,0,731
11496,M     ,W             ,5/1/1946,8/10/2012,34,1.194254446,10/4/2013,1,276
10920,F     ,M             ,6/1/1946,11/10/1992,34,11.06155951,,0,731
11112,F     ,M             ,9/1/1946,8/5/1988,34,13.19288646,,0,731
11631,M     ,P             ,9/1/1946,8/26/1970,34,22.15868673,,0,731
11840,M     ,M             ,9/1/1946,4/28/1986,34,14.32831737,,0,731
11432,M     ,D             ,10/1/1946,1/16/1987,34,13.96853625,,0,731
10936,M     ,S             ,11/1/1946,1/1/1981,34,16.98632011,,0,731
10084,M     ,M             ,12/1/1946,12/24/1996,34,9.002735978,,0,731
10549,M     ,M             ,12/1/1946,6/5/1976,34,19.27222982,,0,731
11188,F     ,M             ,1/1/1947,11/28/2011,33.5,1.544459644,1/4/2013,1,3
10801,F     ,M             ,1/1/1947,2/25/1985,34,14.9124487,,0,731
10937,M     ,M             ,1/1/1947,1/29/1998,34,8.454172367,,0,731
11409,M     ,U             ,1/1/1947,4/15/2008,33.5,3.352941176,,0,731
11595,M     ,M             ,2/1/1947,1/1/1983,33.5,15.9876881,,0,731
10087,F     ,W             ,3/1/1947,2/8/1999,33.5,7.941176471,,0,731
10771,M     ,M             ,3/1/1947,1/13/2012,33.5,1.481532148,,0,731
11377,M     ,M             ,4/1/1947,1/8/2002,33.5,6.484268126,,0,731
11426,M     ,P             ,4/1/1947,9/2/2003,33.5,5.660738714,,0,731
11458,F     ,M             ,4/1/1947,4/27/1983,33.5,15.82900137,,0,731
11470,M     ,M             ,4/1/1947,8/9/2005,33.5,4.693570451,,0,731
10762,M     ,S             ,5/1/1947,5/7/2012,33.5,1.324213406,5/3/2013,1,122
